Kabupaten/Kota,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Makanan dan Minuman Jadi Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
Simeulue,0.000,0.093,0.717,0.130,2.910,-,1.298,0.093,0.004,0.183,0.138,0.044,0.563,0.028,0.064,0.066,0.437,0.122,0.537,0.193,0.042,0.033,0.002,0.031,0.043,0.030,0.343,0.047,0.139,1.457,0.239,0.280,0.000
Aceh Singkil,0.000,0.318,0.857,0.269,1.665,-,2.697,0.051,0.070,0.170,0.193,0.311,0.077,0.026,0.259,0.050,0.359,0.128,0.812,0.204,0.058,0.299,0.004,0.026,0.031,0.024,0.187,0.048,0.062,0.853,0.173,0.242,0.003
Aceh Selatan,0.000,0.240,0.646,0.243,3.043,-,2.446,0.051,0.028,0.739,0.111,0.123,0.115,0.008,0.086,0.046,0.480,0.093,0.619,0.105,0.043,0.005,0.001,0.095,0.026,0.042,0.162,0.097,0.154,1.335,0.231,0.246,0.000
Aceh Tenggara,0.000,0.400,1.230,0.178,1.818,-,3.461,0.124,0.058,0.134,0.133,0.053,0.659,0.031,0.057,0.114,0.419,0.167,0.701,0.052,0.065,0.278,0.037,0.211,0.225,0.067,0.057,0.147,0.063,1.401,0.369,0.111,0.068
Aceh Timur,0.000,0.378,0.631,0.424,2.946,-,2.420,0.093,0.037,0.274,0.343,0.050,0.376,0.003,0.021,0.076,0.720,0.112,0.628,0.017,0.022,0.323,0.003,0.218,0.067,0.094,0.088,0.222,0.075,2.359,0.533,0.189,0.009
Aceh Tengah,0.000,0.405,0.978,0.530,3.566,-,3.964,0.071,0.038,0.691,0.080,0.070,0.181,0.009,0.054,0.044,0.678,0.059,0.792,0.088,0.037,0.654,0.006,0.481,0.094,0.093,0.113,0.036,0.152,0.824,0.229,0.100,0.000
Aceh Barat,0.000,0.167,1.350,0.160,3.436,-,2.463,0.108,0.032,0.527,0.254,0.072,0.200,0.046,0.126,0.073,0.746,0.084,0.864,0.129,0.142,0.116,0.010,0.079,0.136,0.149,0.295,0.532,0.166,2.096,0.203,0.216,0.000
Aceh Besar,0.000,0.385,1.190,0.499,3.846,-,2.981,0.071,0.050,0.563,0.334,0.264,0.311,0.010,0.115,0.041,0.581,0.121,0.593,0.147,0.053,0.232,0.030,0.438,0.038,0.177,0.360,0.168,0.271,2.502,0.279,0.154,0.000
Pidie,0.000,0.377,0.765,0.381,4.440,-,3.272,0.149,0.086,0.371,0.362,0.016,0.387,0.010,0.050,0.029,1.045,0.064,0.479,0.029,0.024,0.257,0.007,0.287,0.417,0.148,0.180,0.115,0.292,2.682,0.562,0.350,0.000
Bireuen,0.000,0.235,0.711,0.466,4.245,-,3.517,0.121,0.032,0.451,0.375,0.123,0.322,0.026,0.072,0.034,1.155,0.111,0.917,0.068,0.042,0.268,0.006,0.340,0.061,0.176,0.093,0.156,0.292,3.161,0.360,0.205,0.002
Aceh Utara,0.000,0.326,0.792,0.217,3.083,-,2.686,0.085,0.043,0.122,0.330,0.126,0.330,0.022,0.079,0.023,0.761,0.082,0.630,0.064,0.034,0.033,0.003,0.365,0.015,0.071,0.106,0.276,0.185,2.962,0.375,0.130,0.000
Aceh Barat Daya,0.000,0.168,0.674,0.479,3.001,-,2.560,0.055,0.015,0.987,0.321,0.093,0.049,0.031,0.060,0.089,0.642,0.194,0.751,0.062,0.009,0.016,0.003,0.097,0.092,0.238,0.169,0.139,0.144,1.511,0.208,0.201,0.000
Gayo Lues,0.000,0.471,0.768,0.477,1.485,-,3.306,0.118,0.030,0.654,0.071,0.080,0.869,0.012,0.061,0.199,0.424,0.100,0.684,0.071,0.057,0.574,0.006,0.147,0.080,0.071,0.136,0.107,0.280,0.803,0.364,0.072,0.001
Aceh Tamiang,0.000,0.120,0.997,0.298,1.130,-,2.399,0.017,0.034,0.562,0.125,0.034,0.424,0.010,0.251,0.083,0.399,0.014,0.579,0.357,0.086,0.668,0.004,0.586,0.037,0.030,0.274,0.187,0.249,0.792,0.341,0.139,0.000
Nagan Raya,0.000,0.213,0.728,0.087,1.457,-,2.166,0.096,0.034,0.569,0.122,0.072,0.044,0.010,0.030,0.040,0.467,0.113,0.694,0.034,0.009,0.050,0.005,0.095,0.026,0.027,0.144,0.054,0.051,0.992,0.249,0.084,0.003
Aceh Jaya,0.000,0.213,0.970,0.305,3.819,-,2.637,0.100,0.021,0.349,0.201,0.130,0.119,0.037,0.124,0.030,0.560,0.166,0.562,0.128,0.027,0.084,0.001,0.184,0.061,0.204,0.205,0.247,0.386,2.833,0.221,0.239,0.001
Bener Meriah,0.000,0.229,0.835,0.496,4.226,-,4.377,0.040,0.073,0.773,0.154,0.081,0.294,0.016,0.086,0.088,0.709,0.068,1.074,0.153,0.039,0.857,0.002,0.397,0.069,0.024,0.047,0.084,0.514,1.861,0.208,0.013,0.000
Pidie Jaya,0.000,0.477,0.594,0.498,5.905,-,3.722,0.366,0.083,0.425,0.401,0.034,0.316,0.005,0.023,0.055,1.058,0.047,0.469,0.050,0.027,0.042,0.005,0.428,0.670,0.258,0.170,0.234,0.143,4.095,0.533,0.303,0.002
Kota Banda Aceh,0.000,0.882,0.979,0.360,5.954,-,2.508,0.120,0.062,2.182,0.589,0.109,0.436,0.053,0.319,0.187,0.893,0.098,0.544,0.504,0.411,0.263,0.085,0.352,0.252,0.434,0.607,0.438,0.316,2.905,0.455,0.509,0.001
Kota Sabang,0.000,0.291,0.484,0.678,5.044,-,2.577,0.067,0.043,0.673,0.413,0.313,0.380,0.026,0.412,0.056,0.721,0.068,0.737,0.569,0.226,0.192,0.017,0.463,0.098,0.302,0.496,0.138,0.432,2.252,0.355,0.226,0.000
